Id,Name,Property_type,Room_type,Bed_type,Min_nights,Max_nights,Cancellation_policy,Accomodates,Total_bedrooms,Total_beds,Number_Of_Reviews,Price,Security_deposit,Cleaning_fee,Extra_people,Guests_included,Image_Url,Host_id,Host_name,Host_location,Country,Country_code,Longitude,Latitude,Availability_365,Review_Scores
30479760,Sydney City PrivateRM203 1min Station 2Bed sleeps4,House,Private room,Real Bed,1,1125,moderate,4,1.0,2.0,8,108.0,200.0,75.0,25.0,2.0,https://a0.muscache.com/im/pictures/7f7f545e-1d1b-4fe0-85b9-ac6887bd2f2f.jpg?aki_policy=large,228751737,Ken,"Sydney, New South Wales, Australia",Australia,AU,151.20777,-33.88444,358,68.0
30488589,Apartamento Superior com 3 quartos,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,10,3.0,6.0,0,150.0,0.0,0.0,15.0,4.0,https://a0.muscache.com/im/pictures/358bac45-b4a0-46ee-a2f4-e6679894d111.jpg?aki_policy=large,2686177,João,"Porto, Porto, Portugal",Portugal,PT,-8.61361,41.14124,312,0.0
30488984,Apartamento com mezanino próximo ao Coliseu,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,4,0.0,2.0,0,80.0,0.0,0.0,15.0,2.0,https://a0.muscache.com/im/pictures/b041eca3-2706-4d27-b6f4-78d7b2ad2cc1.jpg?aki_policy=large,2686177,João,"Porto, Porto, Portugal",Portugal,PT,-8.60577,41.14646,348,0.0
30489606,Espaciosa habitación / spacious room,Apartment,Private room,Real Bed,4,1125,flexible,2,1.0,1.0,0,30.0,0.0,0.0,0.0,1.0,https://a0.muscache.com/im/pictures/96518841-8e6f-4e34-8420-37435e7aeadc.jpg?aki_policy=large,228834394,Malena,"Barcelona, Catalonia, Spain",Spain,ES,2.15179,41.38118,0,0.0
30495625,GiGi Montréal,Apartment,Entire home/apt,Real Bed,2,1125,moderate,2,1.0,1.0,1,60.0,1000.0,30.0,15.0,1.0,https://a0.muscache.com/im/pictures/fa10362f-2f2e-4b86-8b75-079d39f9b911.jpg?aki_policy=large,228874149,Ginette,"Montreal, Quebec, Canada",Canada,CA,-73.62721,45.54878,0,100.0
30501335,Comfortable and quiet Room in Barcelona,Apartment,Private room,Real Bed,2,1125,flexible,2,1.0,1.0,1,35.0,0.0,0.0,0.0,1.0,https://a0.muscache.com/im/pictures/8d5f2e3b-815b-48d3-978e-882c6ab14fea.jpg?aki_policy=large,226980154,Juan,ES,Spain,ES,2.165,41.39923,0,20.0
30504379,City Centre Álvares Cabral - Up2Sleep,Apartment,Entire home/apt,Real Bed,1,1125,moderate,4,1.0,2.0,0,35.0,0.0,20.0,0.0,1.0,https://a0.muscache.com/im/pictures/27522084-011b-47f6-8314-f43e92064977.jpg?aki_policy=large,181832281,Joana,"Lisbon, Lisbon, Portugal",Portugal,PT,-8.6182,41.1546,320,0.0
30507198,"Sands Of Kahana 234 - 2 Bedroom, 2 Bathroom | Sleeps 6",Condominium,Entire home/apt,Real Bed,4,180,super_strict_60,6,2.0,2.0,0,515.0,0.0,339.0,0.0,6.0,https://a0.muscache.com/im/pictures/e29196b7-cb6a-4fa8-a045-f15eb18a190f.jpg?aki_policy=large,146182295,Kelly,"Lahaina, Hawaii, United States",United States,US,-156.68012,20.96898,215,0.0
30507297,"Sands Of Kahana 356 - 3 Bedroom, 2 Bathroom | Sleeps 8",Condominium,Entire home/apt,Real Bed,4,180,super_strict_60,8,3.0,3.0,0,509.0,0.0,349.0,0.0,8.0,https://a0.muscache.com/im/pictures/fd0bc98a-7c0a-4b4c-b900-00a694048880.jpg?aki_policy=large,146182295,Kelly,"Lahaina, Hawaii, United States",United States,US,-156.67178,20.98666,132,0.0
30507309,luxury apartment near Downtown,Apartment,Entire home/apt,Real Bed,2,16,flexible,5,2.0,2.0,1,200.0,0.0,0.0,0.0,1.0,https://a0.muscache.com/im/pictures/d75fb052-9a30-43ea-a17d-dac8db34761e.jpg?aki_policy=large,172923728,Alec,CA,Canada,CA,-73.60754,45.49448,90,0.0
